Name,Points
DÍAZ José Manuel,263.0
CHUMIL Sergio Geovani,259.0
BURNETT Josh,250.0
FAGÚNDEZ Eric Antonio,220.0
QUARTUCCI Lorenzo,220.0
HERRADA Jesús,161.0
ALLENO Clément,104.0
CAVIA Daniel,86.0
DE LA CALLE Hugo,51.0
BOUGLAS Georgios,50.0
MACÍAS César,50.0
GARCÍA PIERNA Carlos,47.0
APARICIO Mario,46.0
KUDUS Merhawi,29.0
FAURA José Luis,25.0
FERNÁNDEZ Sinuhé,16.0
OKAMIKA Ander,15.0
SAINBAYAR Jambaljamts,13.0
ÁLVAREZ Rodrigo,8.0
REY Martín,3.0
MAYER Alexandre,0.0
FAJARDO Adrián,0.0
KMÍNEK Vojtěch,0.0
KOYAMA Tomoya,0.0
