Name,Points
BERWICK Sebastian,578.0
MOLENAAR Alex,294.0
BARCELÓ Fernando,248.0
PRADES Eduard,227.0
PARRA José Félix,218.0
LEITÃO Iúri,215.0
CASTELLON Jan,194.0
GAVIRIA Fernando,186.0
NICOLAU Joel,161.0
FERNÁNDEZ Samuel,156.0
OLDANI Stefano,152.0
BOU Joan,117.0
PEÑUELA Francisco Joel,104.0
OTRUBA Jakub,94.0
SORARRAIN Gorka,90.0
BALDERSTONE Abel,82.0
DARDER Sergi,55.0
ARRIOLABENGOA Julen,21.0
GUARDEÑO Jaume,17.0
VILLAR Iker,9.0
LARRONDE Ellande,3.0
DÍAZ Alex,0.0
LOSPITAO Pablo,0.0
CORRES Gorka,0.0
IBÁÑEZ Javier,0.0
LÓPEZ Joseba,0.0
